entity_id,state,last_changed
sensor.v1_sk_a_co2_avg_5m,376.0,2026-09-16T21:00:00.000Z
sensor.v1_sk_a_co2_avg_5m,373.75,2026-09-16T21:00:00.414Z
sensor.v1_sk_a_co2_avg_5m,376.5,2026-09-16T21:05:00.405Z
sensor.v1_sk_a_co2_avg_5m,377.833,2026-09-16T21:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,377.125,2026-09-16T21:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,378.25,2026-09-16T21:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,379.667,2026-09-16T21:25:00.406Z
sensor.v1_sk_a_co2_avg_5m,378.125,2026-09-16T21:30:00.426Z
sensor.v1_sk_a_co2_avg_5m,378.0,2026-09-16T21:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,379.375,2026-09-16T21:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,380.375,2026-09-16T21:45:00.404Z
sensor.v1_sk_a_co2_avg_5m,376.875,2026-09-16T21:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,379.5,2026-09-16T21:55:00.404Z
sensor.v1_sk_a_co2_avg_5m,378.5,2026-09-16T22:00:00.405Z
sensor.v1_sk_a_co2_avg_5m,382.25,2026-09-16T22:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,381.625,2026-09-16T22:10:00.405Z
sensor.v1_sk_a_co2_avg_5m,384.0,2026-09-16T22:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,386.5,2026-09-16T22:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,382.0,2026-09-16T22:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,384.167,2026-09-16T22:30:00.426Z
sensor.v1_sk_a_co2_avg_5m,385.5,2026-09-16T22:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,386.0,2026-09-16T22:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,386.5,2026-09-16T22:45:00.410Z
sensor.v1_sk_a_co2_avg_5m,383.5,2026-09-16T22:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,384.5,2026-09-16T22:55:00.404Z
sensor.v1_sk_a_co2_avg_5m,391.671,2026-09-16T23:00:00.405Z
sensor.v1_sk_a_co2_avg_5m,394.377,2026-09-16T23:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,395.873,2026-09-16T23:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,390.877,2026-09-16T23:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,391.672,2026-09-16T23:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,389.34,2026-09-16T23:25:00.404Z
sensor.v1_sk_a_co2_avg_5m,388.875,2026-09-16T23:30:00.415Z
sensor.v1_sk_a_co2_avg_5m,405.877,2026-09-16T23:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,421.499,2026-09-16T23:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,427.333,2026-09-16T23:45:00.406Z
sensor.v1_sk_a_co2_avg_5m,429.25,2026-09-16T23:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,433.25,2026-09-16T23:55:00.404Z
sensor.v1_sk_a_co2_avg_5m,451.375,2026-09-17T00:00:00.404Z
sensor.v1_sk_a_co2_avg_5m,451.0,2026-09-17T00:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,472.75,2026-09-17T00:10:00.405Z
sensor.v1_sk_a_co2_avg_5m,505.999,2026-09-17T00:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,527.375,2026-09-17T00:20:00.404Z
sensor.v1_sk_a_co2_avg_5m,565.752,2026-09-17T00:25:00.406Z
sensor.v1_sk_a_co2_avg_5m,581.625,2026-09-17T00:30:00.409Z
sensor.v1_sk_a_co2_avg_5m,602.875,2026-09-17T00:35:00.405Z
sensor.v1_sk_a_co2_avg_5m,646.011,2026-09-17T00:40:00.404Z
sensor.v1_sk_a_co2_avg_5m,672.75,2026-09-17T00:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,677.875,2026-09-17T00:50:00.404Z
